LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate
13406,-,1117845735,2005.06.03,R22-M1-ND-C:J11-U11,2005-06-03-17.42.15.600190,R22-M1-ND-C:J11-U11,RAS,KERNEL,INFO,generating core.217,E3,generating <*>
13405,-,1117845735,2005.06.03,R22-M1-ND-C:J15-U11,2005-06-03-17.42.15.452021,R22-M1-ND-C:J15-U11,RAS,KERNEL,INFO,generating core.216,E3,generating <*>
13402,-,1117845735,2005.06.03,R22-M1-NB-C:J02-U01,2005-06-03-17.42.15.026139,R22-M1-NB-C:J02-U01,RAS,KERNEL,INFO,generating core.323,E3,generating <*>
13404,-,1117845735,2005.06.03,R22-M1-ND-C:J09-U11,2005-06-03-17.42.15.063091,R22-M1-ND-C:J09-U11,RAS,KERNEL,INFO,generating core.154,E3,generating <*>
13407,-,1117845735,2005.06.03,R22-M1-ND-C:J13-U11,2005-06-03-17.42.15.625536,R22-M1-ND-C:J13-U11,RAS,KERNEL,INFO,generating core.153,E3,generating <*>
13408,-,1117845735,2005.06.03,R22-M1-ND-C:J17-U11,2005-06-03-17.42.15.648645,R22-M1-ND-C:J17-U11,RAS,KERNEL,INFO,generating core.152,E3,generating <*>
13414,-,1117845735,2005.06.03,R22-M1-ND-C:J15-U01,2005-06-03-17.42.15.976597,R22-M1-ND-C:J15-U01,RAS,KERNEL,INFO,generating core.208,E3,generating <*>
13413,-,1117845735,2005.06.03,R22-M1-ND-C:J07-U11,2005-06-03-17.42.15.955865,R22-M1-ND-C:J07-U11,RAS,KERNEL,INFO,generating core.218,E3,generating <*>
13412,-,1117845735,2005.06.03,R22-M1-ND-C:J03-U11,2005-06-03-17.42.15.833795,R22-M1-ND-C:J03-U11,RAS,KERNEL,INFO,generating core.219,E3,generating <*>
13411,-,1117845735,2005.06.03,R22-M1-ND-C:J05-U11,2005-06-03-17.42.15.812383,R22-M1-ND-C:J05-U11,RAS,KERNEL,INFO,generating core.155,E3,generating <*>
13410,-,1117845735,2005.06.03,R22-M1-ND-C:J03-U01,2005-06-03-17.42.15.776729,R22-M1-ND-C:J03-U01,RAS,KERNEL,INFO,generating core.211,E3,generating <*>
13409,-,1117845735,2005.06.03,R22-M1-ND-C:J05-U01,2005-06-03-17.42.15.671587,R22-M1-ND-C:J05-U01,RAS,KERNEL,INFO,generating core.147,E3,generating <*>
